"Country","GovernmentHealthExp.P.C"
"United States",9386
"United Kingdom",3064
"Germany",4589
"France",3785
"Japan",3506
"Spain",1892
"Italy",2129
"Portugal",1354
"Greece",903
"Ireland",4028
"Andorra",1981
"United Arab Emirates",977
"Afghanistan",3
"Antigua and Barbuda",317
"Albania",190
"Armenia",54
"Angola",53
"Argentina",959
"Austria",3944
"Australia",3674
"Azerbaijan",42
"Bosnia and Herzegovina",325
"Barbados",523
"Bangladesh",6
"Belgium",3636
"Burkina Faso",19
"Bulgaria",344
"Bahrain",654
"Burundi",6
"Benin",9
"Brunei",637
"Bolivia",151
"Brazil",389
"Bahamas",777
"Bhutan",72
"Botswana",353
"Belarus",240
"Belize",191
"Canada",3505
"Congo, Dem. Rep.",2
"Central African Republic",3
"Congo, Rep.",20
"Switzerland",3036
"Cote d'Ivoire",20
"Chile",797
"Cameroon",9
"China",250
"Colombia",345
"Costa Rica",666
"Cuba",883
"Cabo Verde",101
"Cyprus",734
"Czech Republic",1207
"Djibouti",33
"Denmark",4874
"Dominica",286
"Dominican Republic",199
"Algeria",170
"Ecuador",274
"Estonia",1195
"Egypt",35
"Eritrea",9
"Ethiopia",6
"Finland",3419
"Fiji",125
"Micronesia",110
"Gabon",129
"Grenada",212
"Georgia",109
"Ghana",22
"Gambia",5
"Guinea",6
"Equatorial Guinea",57
"Guatemala",93
"Guinea-Bissau",4
"Guyana",138
"Honduras",79
"Croatia",747
"Haiti",7
"Hungary",727
"Indonesia",56
"Israel",2001
"India",19
"Iraq",88
"Iran",244
"Iceland",4935
"Jamaica",199
"Jordan",153
"Kenya",33
"Kyrgyzstan",30
"Cambodia",20
"Kiribati",130
"Comoros",7
"St. Kitts and Nevis",421
"North Korea",14
"South Korea",1310
"Kuwait",1336
"Kazakhstan",174
"Lao PDR",22
"Lebanon",360
"St. Lucia",225
"Sri Lanka",68
"Liberia",10
"Lesotho",66
"Lithuania",885
"Luxembourg",5230
"Latvia",532
"Libya",198
"Morocco",69
"Monaco",2337
"Moldova",97
"Montenegro",399
"Madagascar",12
"Marshall Islands",243
"North Macedonia",221
"Mali",11
"Burma",9
"Mongolia",92
"Mauritania",19
"Malta",1631
"Mauritius",257
"Maldives",720
"Malawi",10
"Mexico",255
"Malaysia",194
"Mozambique",6
"Namibia",206
"Niger",10
"Nigeria",10
"Nicaragua",112
"Netherlands",4334
"Norway",6783
"Nepal",11
"Nauru",796
"New Zealand",2971
"Oman",516
"Panama",666
"Peru",211
"Papua New Guinea",46
"Philippines",42
"Pakistan",14
"Poland",625
"Palau",808
"Paraguay",173
"Qatar",1332
"Romania",436
"Serbia",300
"Russia",334
"Rwanda",17
"Saudi Arabia",778
"Solomon Islands",72
"Seychelles",578
"Sudan",35
"Sweden",4942
"Singapore",1262
"Slovenia",1530
"Slovakia",1089
"Sierra Leone",9
"San Marino",2745
"Senegal",12
"Somalia",3
"Suriname",199
"South Sudan",2
"Sao Tome and Principe",55
"El Salvador",180
"Syria",32
"Eswatini",114
"Chad",5
"Togo",7
"Thailand",188
"Tajikistan",17
"Timor-Leste",55
"Turkmenistan",102
"Tunisia",143
"Tonga",130
"Turkey",346
"Trinidad and Tobago",598
"Tuvalu",452
"Tanzania",15
"Ukraine",78
"Uganda",6
"Uruguay",1127
"Uzbekistan",43
"St. Vincent and the Grenadines",206
"Venezuela",15
"Vietnam",63
"Vanuatu",65
"Samoa",174
"Yemen",7
"South Africa",268
"Zambia",26
"Zimbabwe",57
